experiment,axiom,log,model,metric,score,time_s,status,max_trace_length,alphabet_size,num_cases,num_log_variants,num_model_variants,num_fitting_variants,num_extra_model_variants,num_missing_log_variants,playout_time_s,numerator_mass,denominator_mass
axiom2_decoy_stress,A2,decoy_axiom2_log,M1_exact_language_with_decoys,LMP_power_law_alpha_5.0,1.0,1.5408000763272867e-05,ok,8,7,12,2,2,2,0,0,0.0010913440000877,2.5706284792783333e-07,2.5706284792783333e-07
axiom2_decoy_stress,A2,decoy_axiom2_log,M2_clean_larger_language,LMP_power_law_alpha_5.0,0.9207114403876894,8.483999408781528e-06,ok,8,7,12,2,5,2,3,0,0.0010883449995162,2.5706284792783333e-07,2.7920023218087786e-07
axiom4_complex_silent_routing,A4,axiom4_complex_log,M_direct_complex_choices,LMP_geometric_lambda_0.3,0.9473981371565052,2.262899943161756e-05,ok,7,8,12,6,12,6,6,0,0.014118872999461,2.8762687683105465e-06,3.035966248512268e-06
axiom4_complex_silent_routing,A4,axiom4_complex_log,M_silent_optional_routing,LMP_geometric_lambda_0.3,0.9473981371565052,6.394900083250832e-05,ok,7,8,12,6,12,6,6,0,0.0015337530003307,2.8762687683105465e-06,3.035966248512268e-06
axiom4_complex_silent_routing,A4,axiom4_complex_log,M_direct_complex_choices,LMP_geometric_lambda_0.5,0.9160113243158226,2.1420999473775737e-05,ok,7,8,12,6,12,6,6,0,0.0067798189993482,1.627206802368164e-05,1.7764046788215637e-05
axiom4_complex_silent_routing,A4,axiom4_complex_log,M_silent_optional_routing,LMP_geometric_lambda_0.5,0.9160113243158226,2.0423998648766428e-05,ok,7,8,12,6,12,6,6,0,0.0015290169994841,1.627206802368164e-05,1.7764046788215637e-05
axiom4_complex_silent_routing,A4,axiom4_complex_log,M_direct_complex_choices,LMP_geometric_lambda_0.7,0.887199046219887,3.314700006740168e-05,ok,7,8,12,6,12,6,6,0,0.0164193860000523,3.851762924194336e-05,4.341486773014068e-05
axiom4_complex_silent_routing,A4,axiom4_complex_log,M_silent_optional_routing,LMP_geometric_lambda_0.7,0.887199046219887,2.1625999579555355e-05,ok,7,8,12,6,12,6,6,0,0.0019554179998522,3.851762924194336e-05,4.341486773014068e-05
axiom4_complex_silent_routing,A4,axiom4_complex_log,M_direct_complex_choices,LMP_geometric_lambda_0.85,0.8671140484451745,2.314500125066843e-05,ok,7,8,12,6,12,6,6,0,0.0081432319984742,4.272673646807671e-05,4.927464448845014e-05
axiom4_complex_silent_routing,A4,axiom4_complex_log,M_silent_optional_routing,LMP_geometric_lambda_0.85,0.8671140484451745,4.178200106252916e-05,ok,7,8,12,6,12,6,6,0,0.0023729590011498,4.272673646807671e-05,4.927464448845014e-05
axiom4_complex_silent_routing,A4,axiom4_complex_log,M_direct_complex_choices,LMP_geometric_lambda_0.95,0.8543920358677614,3.248999928473495e-05,ok,7,8,12,6,12,6,6,0,0.005297020999933,2.252721381783487e-05,2.636636681070553e-05
axiom4_complex_silent_routing,A4,axiom4_complex_log,M_silent_optional_routing,LMP_geometric_lambda_0.95,0.8543920358677614,3.87780000892235e-05,ok,7,8,12,6,12,6,6,0,0.0023220210005092,2.252721381783487e-05,2.636636681070553e-05
axiom4_complex_silent_routing,A4,axiom4_complex_log,M_direct_complex_choices,LMP_power_law_alpha_1.2,0.8729721064129643,1.698600135568995e-05,ok,7,8,12,6,12,6,6,0,0.0133891860004951,1.4061607641088132e-05,1.610773991263841e-05
axiom4_complex_silent_routing,A4,axiom4_complex_log,M_silent_optional_routing,LMP_power_law_alpha_1.2,0.8729721064129643,1.7718999515636824e-05,ok,7,8,12,6,12,6,6,0,0.0029948240007797,1.4061607641088132e-05,1.610773991263841e-05
axiom4_complex_silent_routing,A4,axiom4_complex_log,M_direct_complex_choices,LMP_power_law_alpha_1.5,0.8786458975354035,1.733799945213832e-05,ok,7,8,12,6,12,6,6,0,0.0101261359995987,1.846521314763039e-05,2.101553447119619e-05
axiom4_complex_silent_routing,A4,axiom4_complex_log,M_silent_optional_routing,LMP_power_law_alpha_1.5,0.8786458975354035,2.0063000192749317e-05,ok,7,8,12,6,12,6,6,0,0.002399327000603,1.846521314763039e-05,2.101553447119619e-05
axiom4_complex_silent_routing,A4,axiom4_complex_log,M_direct_complex_choices,LMP_power_law_alpha_2.0,0.8876531794560508,1.7108999600168318e-05,ok,7,8,12,6,12,6,6,0,0.015156030000071,1.299892400983785e-05,1.4644147411045744e-05
axiom4_complex_silent_routing,A4,axiom4_complex_log,M_silent_optional_routing,LMP_power_law_alpha_2.0,0.8876531794560508,2.913999924203381e-05,ok,7,8,12,6,12,6,6,0,0.0022445169997808,1.299892400983785e-05,1.4644147411045744e-05
axiom4_complex_silent_routing,A4,axiom4_complex_log,M_direct_complex_choices,LMP_power_law_alpha_3.0,0.9040316055683486,1.6134999896166846e-05,ok,7,8,12,6,12,6,6,0,0.0090178000009473,3.503214606146771e-06,3.875101915208332e-06
axiom4_complex_silent_routing,A4,axiom4_complex_log,M_silent_optional_routing,LMP_power_law_alpha_3.0,0.9040316055683486,2.5953000658773817e-05,ok,7,8,12,6,12,6,6,0,0.0016878959995665,3.503214606146771e-06,3.875101915208332e-06
axiom4_complex_silent_routing,A4,axiom4_complex_log,M_direct_complex_choices,LMP_power_law_alpha_5.0,0.9307546862626512,3.9956999899004586e-05,ok,7,8,12,6,12,6,6,0,0.0121573510004964,1.5869293882510603e-07,1.7049921012197213e-07
axiom4_complex_silent_routing,A4,axiom4_complex_log,M_silent_optional_routing,LMP_power_law_alpha_5.0,0.9307546862626512,2.9000000722589903e-05,ok,7,8,12,6,12,6,6,0,0.0051799080010823,1.5869293882510603e-07,1.7049921012197213e-07
